# The index has the following fields:
#
#   ID: A unique id of the form 01234.567 that identifies a model 
#       01234 is unique for each combination of (Protein, Species), and 567 is unique 
#       for each combination of (Experiment, Experiment Details, Model ID),
#       In other words, 01234 identifies the protein 'version', whereas 567 identifies 
#       the model 'version' for that protein version.
#   Protein: The protein name, e.g. RBFOX1.
#   Type: Indicates whether the protein is considered an RBP, a TF, etc.
#   Species: The species name, e.g. Homo sapiens.
#   Family: The protein family, e.g. Homeodomain.
#   Class: The protein structural class, e.g. Zinc-coordinating.
#   Experiment: The technology used to measure the training data, e.g. ChIP-seq, HT-SELEX.
#   Experiment Details: A list of strings that describe how the experiment was configured,
#                       e.g. ["Cell Line=K562","Lab=Stanford"]
#   Model ID: A number/string that can be used to identify this model as distinct from 
#             other models for the same (Protein, Species, Experiment, Experiment Details),
#             e.g. if a new, better model was trained and therefore needs a new version ID.
#   Comments: 
#
#
ID	Protein	Type	Species	Family	Class	Experiment	Experiment Details	Model	Cite	Labels	Path	Comment
D00282.001	Rbm38	RBP	Danio rerio	RRM		RNAcompete	['RNAcompeteID=RNCMPT00283']	deepbind 0.1	PMID 23846655		E:/Results/deepbind/rnac/AB/final/RNCMPT00283	
D00283.001	At_0284	RBP	Arabidopsis thaliana	RRM		RNAcompete	['RNAcompeteID=RNCMPT00284']	deepbind 0.1	PMID 23846655		E:/Results/deepbind/rnac/AB/final/RNCMPT00284	
D00284.001	Rbm24	RBP	Tetraodon nigroviridis	RRM		RNAcompete	['RNAcompeteID=RNCMPT00285']	deepbind 0.1	PMID 23846655		E:/Results/deepbind/rnac/AB/final/RNCMPT00285	
D00285.001	An_0287	RBP	Aspergillus nidulans	RRM		RNAcompete	['RNAcompeteID=RNCMPT00287']	deepbind 0.1	PMID 23846655		E:/Results/deepbind/rnac/AB/final/RNCMPT00287	
D00286.001	HNRNPR	RBP	Gallus gallus	RRM		RNAcompete	['RNAcompeteID=RNCMPT00288']	deepbind 0.1	PMID 23846655		E:/Results/deepbind/rnac/AB/final/RNCMPT00288	
D00287.001	Hnrnpr	RBP	Xenopus tropicalis	RRM		RNAcompete	['RNAcompeteID=RNCMPT00289']	deepbind 0.1	PMID 23846655		E:/Results/deepbind/rnac/AB/final/RNCMPT00289	
D00288.001	A1CF	RBP	Gallus gallus	RRM		RNAcompete	['RNAcompeteID=RNCMPT00291']	deepbind 0.1	PMID 23846655		E:/Results/deepbind/rnac/AB/final/RNCMPT00291	
D00289.001	Alx1	TF	Mus musculus	Homeodomain		SELEX	['CloneType=DBD','Primer=TAAAGC20NCG','Cycle=2','Batch=Z']	deepbind 0.1	PMID 23332764	deprecated	E:/Results/deepbind/selex/unmatched/final/Alx1_DBD_TAAAGC20NCG_2_Z	
D00289.002	Alx1	TF	Mus musculus	Homeodomain		SELEX	['CloneType=DBD','Primer=TAAAGC20NCG','Cycle=3','Batch=Z']	deepbind 0.1	PMID 23332764		E:/Results/deepbind/selex/best/final/Alx1_DBD_TAAAGC20NCG_3_Z	
D00289.003	Alx1	TF	Mus musculus	Homeodomain		SELEX	['CloneType=DBD','Primer=TAAAGC20NCG','Cycle=4','Batch=Z']	deepbind 0.1	PMID 23332764	deprecated	E:/Results/deepbind/selex/unmatched/final/Alx1_DBD_TAAAGC20NCG_4_Z	
D00290.001	ALX3	TF	Homo sapiens	Homeodomain		SELEX	['CloneType=DBD','Primer=TGTAAA20NAAG','Cycle=2','Batch=Z']	deepbind 0.1	PMID 23332764	deprecated	E:/Results/deepbind/selex/matched/final/ALX3_DBD_TGTAAA20NAAG_2_Z	
D00290.002	ALX3	TF	Homo sapiens	Homeodomain		SELEX	['CloneType=DBD','Primer=TGTAAA20NAAG','Cycle=3','Batch=Z']	deepbind 0.1	PMID 23332764	deprecated	E:/Results/deepbind/selex/unmatched/final/ALX3_DBD_TGTAAA20NAAG_3_Z	
D00290.003	ALX3	TF	Homo sapiens	Homeodomain		SELEX	['CloneType=DBD','Primer=TGTAAA20NAAG','Cycle=4','Batch=Z']	deepbind 0.1	PMID 23332764		E:/Results/deepbind/selex/best/final/ALX3_DBD_TGTAAA20NAAG_4_Z	
D00290.004	ALX3	TF	Homo sapiens	Homeodomain		SELEX	['CloneType=FL','Primer=TGCAAG20NGA','Cycle=2','Batch=AE']	deepbind 0.1	PMID 23332764	deprecated	E:/Results/deepbind/selex/matched/final/ALX3_FL_TGCAAG20NGA_2_AE	
D00290.005	ALX3	TF	Homo sapiens	Homeodomain		SELEX	['CloneType=FL','Primer=TGCAAG20NGA','Cycle=3','Batch=AE']	deepbind 0.1	PMID 23332764	deprecated	E:/Results/deepbind/selex/unmatched/final/ALX3_FL_TGCAAG20NGA_3_AE	
D00290.006	ALX3	TF	Homo sapiens	Homeodomain		SELEX	['CloneType=FL','Primer=TGCAAG20NGA','Cycle=4','Batch=AE']	deepbind 0.1	PMID 23332764	deprecated	E:/Results/deepbind/selex/unmatched/final/ALX3_FL_TGCAAG20NGA_4_AE	
D00291.001	Alx4	TF	Mus musculus	Homeodomain		SELEX	['CloneType=DBD','Primer=TGGTAG20NCG','Cycle=2','Batch=P']	deepbind 0.1	PMID 23332764	deprecated	E:/Results/deepbind/selex/matched/final/Alx4_DBD_TGGTAG20NCG_2_P	
D00291.002	Alx4	TF	Mus musculus	Homeodomain		SELEX	['CloneType=DBD','Primer=TGGTAG20NCG','Cycle=3','Batch=P']	deepbind 0.1	PMID 23332764		E:/Results/deepbind/selex/best/final/Alx4_DBD_TGGTAG20NCG_3_P	
D00291.003	Alx4	TF	Mus musculus	Homeodomain		SELEX	['CloneType=DBD','Primer=TGGTAG20NCG','Cycle=4','Batch=P']	deepbind 0.1	PMID 23332764	deprecated	E:/Results/deepbind/selex/unmatched/final/Alx4_DBD_TGGTAG20NCG_4_P	
D00291.004	Alx4	TF	Mus musculus	Homeodomain		SELEX	['CloneType=DBD','Primer=TGGTAG20NCG','Cycle=5','Batch=P']	deepbind 0.1	PMID 23332764	deprecated	E:/Results/deepbind/selex/unmatched/final/Alx4_DBD_TGGTAG20NCG_5_P	
D00292.001	ALX4	TF	Homo sapiens	Homeodomain		SELEX	['CloneType=DBD','Primer=TGTGTC20NGA','Cycle=2','Batch=W']	deepbind 0.1	PMID 23332764		E:/Results/deepbind/selex/best/final/ALX4_DBD_TGTGTC20NGA_2_W	
D00292.002	ALX4	TF	Homo sapiens	Homeodomain		SELEX	['CloneType=DBD','Primer=TGTGTC20NGA','Cycle=3','Batch=W']	deepbind 0.1	PMID 23332764	deprecated	E:/Results/deepbind/selex/unmatched/final/ALX4_DBD_TGTGTC20NGA_3_W	
D00292.003	ALX4	TF	Homo sapiens	Homeodomain		SELEX	['CloneType=DBD','Primer=TGTGTC20NGA','Cycle=4','Batch=W']	deepbind 0.1	PMID 23332764	deprecated	E:/Results/deepbind/selex/unmatched/final/ALX4_DBD_TGTGTC20NGA_4_W	
D00293.001	ARNTL	TF	Homo sapiens	bHLH		SELEX	['CloneType=DBD','Primer=TCAAAA20NCG','Cycle=2','Batch=W']	deepbind 0.1	PMID 23332764	deprecated	E:/Results/deepbind/selex/unmatched/final/ARNTL_DBD_TCAAAA20NCG_2_W	
D00293.002	ARNTL	TF	Homo sapiens	bHLH		SELEX	['CloneType=DBD','Primer=TCAAAA20NCG','Cycle=3','Batch=W']	deepbind 0.1	PMID 23332764	deprecated	E:/Results/deepbind/selex/matched/final/ARNTL_DBD_TCAAAA20NCG_3_W	
D00293.003	ARNTL	TF	Homo sapiens	bHLH		SELEX	['CloneType=DBD','Primer=TCAAAA20NCG','Cycle=4','Batch=W']	deepbind 0.1	PMID 23332764		E:/Results/deepbind/selex/best/final/ARNTL_DBD_TCAAAA20NCG_4_W	
D00294.001	Arx	TF	Mus musculus	Homeodomain		SELEX	['CloneType=DBD','Primer=TCGCAT20NACT','Cycle=2','Batch=AC']	deepbind 0.1	PMID 23332764		E:/Results/deepbind/selex/best/final/Arx_DBD_TCGCAT20NACT_2_AC	
D00294.002	Arx	TF	Mus musculus	Homeodomain		SELEX	['CloneType=DBD','Primer=TCGCAT20NACT','Cycle=3','Batch=AC']	deepbind 0.1	PMID 23332764	deprecated	E:/Results/deepbind/selex/unmatched/final/Arx_DBD_TCGCAT20NACT_3_AC	
D00294.003	Arx	TF	Mus musculus	Homeodomain		SELEX	['CloneType=DBD','Primer=TCGCAT20NACT','Cycle=4','Batch=AC']	deepbind 0.1	PMID 23332764	deprecated	E:/Results/deepbind/selex/unmatched/final/Arx_DBD_TCGCAT20NACT_4_AC	
D00295.001	ARX	TF	Homo sapiens	Homeodomain		SELEX	['CloneType=DBD','Primer=TGCGTT20NTGC','Cycle=2','Batch=Z']	deepbind 0.1	PMID 23332764	deprecated	E:/Results/deepbind/selex/matched/final/ARX_DBD_TGCGTT20NTGC_2_Z	
D00295.002	ARX	TF	Homo sapiens	Homeodomain		SELEX	['CloneType=DBD','Primer=TGCGTT20NTGC','Cycle=3','Batch=Z']	deepbind 0.1	PMID 23332764		E:/Results/deepbind/selex/best/final/ARX_DBD_TGCGTT20NTGC_3_Z	
D00295.003	ARX	TF	Homo sapiens	Homeodomain		SELEX	['CloneType=DBD','Primer=TGCGTT20NTGC','Cycle=4','Batch=Z']	deepbind 0.1	PMID 23332764	deprecated	E:/Results/deepbind/selex/unmatched/final/ARX_DBD_TGCGTT20NTGC_4_Z	
D00021.002	Ar	TF	Mus musculus	Nuclear receptor		SELEX	['CloneType=DBD','Primer=TCTAAT20NCG','Cycle=2','Batch=P']	deepbind 0.1	PMID 23332764	deprecated	E:/Results/deepbind/selex/unmatched/final/Ar_DBD_TCTAAT20NCG_2_P	
D00021.003	Ar	TF	Mus musculus	Nuclear receptor		SELEX	['CloneType=DBD','Primer=TCTAAT20NCG','Cycle=3','Batch=P']	deepbind 0.1	PMID 23332764	deprecated	E:/Results/deepbind/selex/unmatched/final/Ar_DBD_TCTAAT20NCG_3_P	
D00021.004	Ar	TF	Mus musculus	Nuclear receptor		SELEX	['CloneType=DBD','Primer=TCTAAT20NCG','Cycle=4','Batch=P']	deepbind 0.1	PMID 23332764	deprecated	E:/Results/deepbind/selex/matched/final/Ar_DBD_TCTAAT20NCG_4_P	
D00021.005	Ar	TF	Mus musculus	Nuclear receptor		SELEX	['CloneType=DBD','Primer=TCTAAT20NCG','Cycle=5','Batch=P']	deepbind 0.1	PMID 23332764		E:/Results/deepbind/selex/best/final/Ar_DBD_TCTAAT20NCG_5_P	
D00296.001	AR	TF	Homo sapiens	Nuclear receptor		SELEX	['CloneType=DBD','Primer=TGCTCG20NGA','Cycle=2','Batch=AF']	deepbind 0.1	PMID 23332764	deprecated	E:/Results/deepbind/selex/unmatched/final/AR_DBD_TGCTCG20NGA_2_AF	
D00296.002	AR	TF	Homo sapiens	Nuclear receptor		SELEX	['CloneType=DBD','Primer=TGCTCG20NGA','Cycle=3','Batch=AF']	deepbind 0.1	PMID 23332764	deprecated	E:/Results/deepbind/selex/matched/final/AR_DBD_TGCTCG20NGA_3_AF	
D00296.003	AR	TF	Homo sapiens	Nuclear receptor		SELEX	['CloneType=DBD','Primer=TGCTCG20NGA','Cycle=4','Batch=AF']	deepbind 0.1	PMID 23332764	deprecated	E:/Results/deepbind/selex/unmatched/final/AR_DBD_TGCTCG20NGA_4_AF	
D00296.004	AR	TF	Homo sapiens	Nuclear receptor		SELEX	['CloneType=FL','Primer=TCTTCT20NCTG','Cycle=2','Batch=AD']	deepbind 0.1	PMID 23332764	deprecated	E:/Results/deepbind/selex/unmatched/final/AR_FL_TCTTCT20NCTG_2_AD	
D00296.005	AR	TF	Homo sapiens	Nuclear receptor		SELEX	['CloneType=FL','Primer=TCTTCT20NCTG','Cycle=3','Batch=AD']	deepbind 0.1	PMID 23332764	deprecated	E:/Results/deepbind/selex/unmatched/final/AR_FL_TCTTCT20NCTG_3_AD	
D00296.006	AR	TF	Homo sapiens	Nuclear receptor		SELEX	['CloneType=FL','Primer=TCTTCT20NCTG','Cycle=4','Batch=AD']	deepbind 0.1	PMID 23332764		E:/Results/deepbind/selex/best/final/AR_FL_TCTTCT20NCTG_4_AD	
D00297.001	Ascl2	TF	Mus musculus	bHLH		SELEX	['CloneType=DBD','Primer=TAGGGC20NCG','Cycle=2','Batch=Z']	deepbind 0.1	PMID 23332764	deprecated	E:/Results/deepbind/selex/unmatched/final/Ascl2_DBD_TAGGGC20NCG_2_Z	
D00297.002	Ascl2	TF	Mus musculus	bHLH		SELEX	['CloneType=DBD','Primer=TAGGGC20NCG','Cycle=3','Batch=Z']	deepbind 0.1	PMID 23332764		E:/Results/deepbind/selex/best/final/Ascl2_DBD_TAGGGC20NCG_3_Z	
D00297.003	Ascl2	TF	Mus musculus	bHLH		SELEX	['CloneType=DBD','Primer=TAGGGC20NCG','Cycle=4','Batch=Z']	deepbind 0.1	PMID 23332764	deprecated	E:/Results/deepbind/selex/matched/final/Ascl2_DBD_TAGGGC20NCG_4_Z	
D00055.002	Atf4	TF	Mus musculus	bZIP		SELEX	['CloneType=DBD','Primer=TGCCGC20NGA','Cycle=2','Batch=Z']	deepbind 0.1	PMID 23332764	deprecated	E:/Results/deepbind/selex/unmatched/final/Atf4_DBD_TGCCGC20NGA_2_Z	
D00055.003	Atf4	TF	Mus musculus	bZIP		SELEX	['CloneType=DBD','Primer=TGCCGC20NGA','Cycle=3','Batch=Z']	deepbind 0.1	PMID 23332764	deprecated	E:/Results/deepbind/selex/unmatched/final/Atf4_DBD_TGCCGC20NGA_3_Z	
D00055.004	Atf4	TF	Mus musculus	bZIP		SELEX	['CloneType=DBD','Primer=TGCCGC20NGA','Cycle=4','Batch=Z']	deepbind 0.1	PMID 23332764		E:/Results/deepbind/selex/best/final/Atf4_DBD_TGCCGC20NGA_4_Z	
D00298.001	ATF4	TF	Homo sapiens	bZIP		SELEX	['CloneType=DBD','Primer=TGGAAT20NGA','Cycle=2','Batch=W']	deepbind 0.1	PMID 23332764	deprecated	E:/Results/deepbind/selex/unmatched/final/ATF4_DBD_TGGAAT20NGA_2_W	
D00298.002	ATF4	TF	Homo sapiens	bZIP		SELEX	['CloneType=DBD','Primer=TGGAAT20NGA','Cycle=3','Batch=W']	deepbind 0.1	PMID 23332764	deprecated	E:/Results/deepbind/selex/matched/final/ATF4_DBD_TGGAAT20NGA_3_W	
D00298.003	ATF4	TF	Homo sapiens	bZIP		SELEX	['CloneType=DBD','Primer=TGGAAT20NGA','Cycle=4','Batch=W']	deepbind 0.1	PMID 23332764		E:/Results/deepbind/selex/best/final/ATF4_DBD_TGGAAT20NGA_4_W	
D00299.001	ATF7	TF	Homo sapiens	bZIP		SELEX	['CloneType=DBD','Primer=TGGGCG30NCGT','Cycle=2','Batch=AI']	deepbind 0.1	PMID 23332764	deprecated	E:/Results/deepbind/selex/unmatched/final/ATF7_DBD_TGGGCG30NCGT_2_AI	
D00299.002	ATF7	TF	Homo sapiens	bZIP		SELEX	['CloneType=DBD','Primer=TGGGCG30NCGT','Cycle=3','Batch=AI']	deepbind 0.1	PMID 23332764	deprecated	E:/Results/deepbind/selex/unmatched/final/ATF7_DBD_TGGGCG30NCGT_3_AI	
D00299.003	ATF7	TF	Homo sapiens	bZIP		SELEX	['CloneType=DBD','Primer=TGGGCG30NCGT','Cycle=4','Batch=AI']	deepbind 0.1	PMID 23332764		E:/Results/deepbind/selex/best/final/ATF7_DBD_TGGGCG30NCGT_4_AI	
D00299.004	ATF7	TF	Homo sapiens	bZIP		SELEX	['CloneType=DBD','Primer=TGGGCG30NCGT','Cycle=5','Batch=AI']	deepbind 0.1	PMID 23332764	deprecated	E:/Results/deepbind/selex/unmatched/final/ATF7_DBD_TGGGCG30NCGT_5_AI	
D00299.005	ATF7	TF	Homo sapiens	bZIP		SELEX	['CloneType=DBD','Primer=TGGGCG30NCGT','Cycle=6','Batch=AI']	deepbind 0.1	PMID 23332764	deprecated	E:/Results/deepbind/selex/unmatched/final/ATF7_DBD_TGGGCG30NCGT_6_AI	
D00300.001	Atoh1	TF	Mus musculus	bHLH		SELEX	['CloneType=DBD','Primer=TAGTCC20NCTT','Cycle=2','Batch=Z']	deepbind 0.1	PMID 23332764	deprecated	E:/Results/deepbind/selex/unmatched/final/Atoh1_DBD_TAGTCC20NCTT_2_Z	
D00300.002	Atoh1	TF	Mus musculus	bHLH		SELEX	['CloneType=DBD','Primer=TAGTCC20NCTT','Cycle=3','Batch=Z']	deepbind 0.1	PMID 23332764	deprecated	E:/Results/deepbind/selex/matched/final/Atoh1_DBD_TAGTCC20NCTT_3_Z	
D00300.003	Atoh1	TF	Mus musculus	bHLH		SELEX	['CloneType=DBD','Primer=TAGTCC20NCTT','Cycle=4','Batch=Z']	deepbind 0.1	PMID 23332764		E:/Results/deepbind/selex/best/final/Atoh1_DBD_TAGTCC20NCTT_4_Z	
D00301.001	Barhl1	TF	Mus musculus	Homeodomain		SELEX	['CloneType=DBD','Primer=TCAGTC20NCG','Cycle=2','Batch=AC']	deepbind 0.1	PMID 23332764	deprecated	E:/Results/deepbind/selex/matched/final/Barhl1_DBD_TCAGTC20NCG_2_AC	
D00301.002	Barhl1	TF	Mus musculus	Homeodomain		SELEX	['CloneType=DBD','Primer=TCAGTC20NCG','Cycle=3','Batch=AC']	deepbind 0.1	PMID 23332764	deprecated	E:/Results/deepbind/selex/matched/final/Barhl1_DBD_TCAGTC20NCG_3_AC	
D00301.003	Barhl1	TF	Mus musculus	Homeodomain		SELEX	['CloneType=DBD','Primer=TCAGTC20NCG','Cycle=4','Batch=AC']	deepbind 0.1	PMID 23332764		E:/Results/deepbind/selex/best/final/Barhl1_DBD_TCAGTC20NCG_4_AC	
D00302.001	BARHL2	TF	Homo sapiens	Homeodomain		SELEX	['CloneType=DBD','Primer=TATTGT20NGTG','Cycle=2','Batch=AC']	deepbind 0.1	PMID 23332764	deprecated	E:/Results/deepbind/selex/matched/final/BARHL2_DBD_TATTGT20NGTG_2_AC	
D00302.002	BARHL2	TF	Homo sapiens	Homeodomain		SELEX	['CloneType=DBD','Primer=TATTGT20NGTG','Cycle=3','Batch=AC']	deepbind 0.1	PMID 23332764	deprecated	E:/Results/deepbind/selex/matched/final/BARHL2_DBD_TATTGT20NGTG_3_AC	
D00302.003	BARHL2	TF	Homo sapiens	Homeodomain		SELEX	['CloneType=DBD','Primer=TATTGT20NGTG','Cycle=4','Batch=AC']	deepbind 0.1	PMID 23332764		E:/Results/deepbind/selex/best/final/BARHL2_DBD_TATTGT20NGTG_4_AC	
D00302.004	BARHL2	TF	Homo sapiens	Homeodomain		SELEX	['CloneType=FL','Primer=TCCAGT40NGAC','Cycle=2','Batch=AI']	deepbind 0.1	PMID 23332764	deprecated	E:/Results/deepbind/selex/unmatched/final/BARHL2_FL_TCCAGT40NGAC_2_AI	
D00302.005	BARHL2	TF	Homo sapiens	Homeodomain		SELEX	['CloneType=FL','Primer=TCCAGT40NGAC','Cycle=3','Batch=AI']	deepbind 0.1	PMID 23332764	deprecated	E:/Results/deepbind/selex/matched/final/BARHL2_FL_TCCAGT40NGAC_3_AI	
D00302.006	BARHL2	TF	Homo sapiens	Homeodomain		SELEX	['CloneType=FL','Primer=TCCAGT40NGAC','Cycle=4','Batch=AI']	deepbind 0.1	PMID 23332764	deprecated	E:/Results/deepbind/selex/matched/final/BARHL2_FL_TCCAGT40NGAC_4_AI	
D00302.007	BARHL2	TF	Homo sapiens	Homeodomain		SELEX	['CloneType=FL','Primer=TCCAGT40NGAC','Cycle=5','Batch=AI']	deepbind 0.1	PMID 23332764	deprecated	E:/Results/deepbind/selex/unmatched/final/BARHL2_FL_TCCAGT40NGAC_5_AI	
D00302.008	BARHL2	TF	Homo sapiens	Homeodomain		SELEX	['CloneType=FL','Primer=TCCAGT40NGAC','Cycle=6','Batch=AI']	deepbind 0.1	PMID 23332764	deprecated	E:/Results/deepbind/selex/unmatched/final/BARHL2_FL_TCCAGT40NGAC_6_AI	
D00303.001	BARX1	TF	Homo sapiens	Homeodomain		SELEX	['CloneType=DBD','Primer=TATTCG20NCTG','Cycle=2','Batch=AC']	deepbind 0.1	PMID 23332764	deprecated	E:/Results/deepbind/selex/unmatched/final/BARX1_DBD_TATTCG20NCTG_2_AC	
D00303.002	BARX1	TF	Homo sapiens	Homeodomain		SELEX	['CloneType=DBD','Primer=TATTCG20NCTG','Cycle=3','Batch=AC']	deepbind 0.1	PMID 23332764		E:/Results/deepbind/selex/best/final/BARX1_DBD_TATTCG20NCTG_3_AC	
D00303.003	BARX1	TF	Homo sapiens	Homeodomain		SELEX	['CloneType=DBD','Primer=TATTCG20NCTG','Cycle=4','Batch=AC']	deepbind 0.1	PMID 23332764	deprecated	E:/Results/deepbind/selex/unmatched/final/BARX1_DBD_TATTCG20NCTG_4_AC	
D00304.001	BATF3	TF	Homo sapiens	bZIP		SELEX	['CloneType=DBD','Primer=TAAGAC20NAGA','Cycle=2','Batch=AC']	deepbind 0.1	PMID 23332764	deprecated	E:/Results/deepbind/selex/unmatched/final/BATF3_DBD_TAAGAC20NAGA_2_AC	
D00304.002	BATF3	TF	Homo sapiens	bZIP		SELEX	['CloneType=DBD','Primer=TAAGAC20NAGA','Cycle=3','Batch=AC']	deepbind 0.1	PMID 23332764	deprecated	E:/Results/deepbind/selex/unmatched/final/BATF3_DBD_TAAGAC20NAGA_3_AC	
D00304.003	BATF3	TF	Homo sapiens	bZIP		SELEX	['CloneType=DBD','Primer=TAAGAC20NAGA','Cycle=4','Batch=AC']	deepbind 0.1	PMID 23332764		E:/Results/deepbind/selex/best/final/BATF3_DBD_TAAGAC20NAGA_4_AC	
D00305.001	BCL6B	TF	Homo sapiens	C2H2 ZF		SELEX	['CloneType=DBD','Primer=TGCGGG20NGA','Cycle=2','Batch=AC']	deepbind 0.1	PMID 23332764	deprecated	E:/Results/deepbind/selex/unmatched/final/BCL6B_DBD_TGCGGG20NGA_2_AC	
D00305.002	BCL6B	TF	Homo sapiens	C2H2 ZF		SELEX	['CloneType=DBD','Primer=TGCGGG20NGA','Cycle=3','Batch=AC']	deepbind 0.1	PMID 23332764	deprecated	E:/Results/deepbind/selex/unmatched/final/BCL6B_DBD_TGCGGG20NGA_3_AC	
D00305.003	BCL6B	TF	Homo sapiens	C2H2 ZF		SELEX	['CloneType=DBD','Primer=TGCGGG20NGA','Cycle=4','Batch=AC']	deepbind 0.1	PMID 23332764		E:/Results/deepbind/selex/best/final/BCL6B_DBD_TGCGGG20NGA_4_AC	
D00306.001	BHLHA15	TF	Homo sapiens	bHLH		SELEX	['CloneType=DBD','Primer=TCCGTG20NCG','Cycle=2','Batch=Y']	deepbind 0.1	PMID 23332764	deprecated	E:/Results/deepbind/selex/unmatched/final/BHLHA15_DBD_TCCGTG20NCG_2_Y	
D00306.002	BHLHA15	TF	Homo sapiens	bHLH		SELEX	['CloneType=DBD','Primer=TCCGTG20NCG','Cycle=3','Batch=Y']	deepbind 0.1	PMID 23332764	deprecated	E:/Results/deepbind/selex/unmatched/final/BHLHA15_DBD_TCCGTG20NCG_3_Y	
D00306.003	BHLHA15	TF	Homo sapiens	bHLH		SELEX	['CloneType=DBD','Primer=TCCGTG20NCG','Cycle=4','Batch=Y']	deepbind 0.1	PMID 23332764		E:/Results/deepbind/selex/best/final/BHLHA15_DBD_TCCGTG20NCG_4_Y	
D00307.001	Bhlhb2	TF	Mus musculus	bHLH		SELEX	['CloneType=DBD','Primer=TCAAGG20NGAA','Cycle=2','Batch=Z']	deepbind 0.1	PMID 23332764		E:/Results/deepbind/selex/best/final/Bhlhb2_DBD_TCAAGG20NGAA_2_Z	
D00307.002	Bhlhb2	TF	Mus musculus	bHLH		SELEX	['CloneType=DBD','Primer=TCAAGG20NGAA','Cycle=3','Batch=Z']	deepbind 0.1	PMID 23332764	deprecated	E:/Results/deepbind/selex/unmatched/final/Bhlhb2_DBD_TCAAGG20NGAA_3_Z	
D00307.003	Bhlhb2	TF	Mus musculus	bHLH		SELEX	['CloneType=DBD','Primer=TCAAGG20NGAA','Cycle=4','Batch=Z']	deepbind 0.1	PMID 23332764	deprecated	E:/Results/deepbind/selex/unmatched/final/Bhlhb2_DBD_TCAAGG20NGAA_4_Z	
D00308.001	BHLHB2	TF	Homo sapiens	bHLH		SELEX	['CloneType=DBD','Primer=TGGGAC20NGA','Cycle=2','Batch=Y']	deepbind 0.1	PMID 23332764	deprecated	E:/Results/deepbind/selex/matched/final/BHLHB2_DBD_TGGGAC20NGA_2_Y	
D00308.002	BHLHB2	TF	Homo sapiens	bHLH		SELEX	['CloneType=DBD','Primer=TGGGAC20NGA','Cycle=3','Batch=Y']	deepbind 0.1	PMID 23332764	deprecated	E:/Results/deepbind/selex/unmatched/final/BHLHB2_DBD_TGGGAC20NGA_3_Y	
D00308.003	BHLHB2	TF	Homo sapiens	bHLH		SELEX	['CloneType=DBD','Primer=TGGGAC20NGA','Cycle=4','Batch=Y']	deepbind 0.1	PMID 23332764		E:/Results/deepbind/selex/best/final/BHLHB2_DBD_TGGGAC20NGA_4_Y	
D00309.001	BHLHB3	TF	Homo sapiens	bHLH		SELEX	['CloneType=FL','Primer=TCAAAA20NCG','Cycle=2','Batch=AD']	deepbind 0.1	PMID 23332764	deprecated	E:/Results/deepbind/selex/matched/final/BHLHB3_FL_TCAAAA20NCG_2_AD	
D00309.002	BHLHB3	TF	Homo sapiens	bHLH		SELEX	['CloneType=FL','Primer=TCAAAA20NCG','Cycle=3','Batch=AD']	deepbind 0.1	PMID 23332764		E:/Results/deepbind/selex/best/final/BHLHB3_FL_TCAAAA20NCG_3_AD	
D00309.003	BHLHB3	TF	Homo sapiens	bHLH		SELEX	['CloneType=FL','Primer=TCAAAA20NCG','Cycle=4','Batch=AD']	deepbind 0.1	PMID 23332764	deprecated	E:/Results/deepbind/selex/unmatched/final/BHLHB3_FL_TCAAAA20NCG_4_AD	
D00310.001	BHLHE22	TF	Homo sapiens	bHLH		SELEX	['CloneType=DBD','Primer=TCTTGA20NGTG','Cycle=2','Batch=Y']	deepbind 0.1	PMID 23332764	deprecated	E:/Results/deepbind/selex/unmatched/final/BHLHE22_DBD_TCTTGA20NGTG_2_Y	
D00310.002	BHLHE22	TF	Homo sapiens	bHLH		SELEX	['CloneType=DBD','Primer=TCTTGA20NGTG','Cycle=3','Batch=Y']	deepbind 0.1	PMID 23332764		E:/Results/deepbind/selex/best/final/BHLHE22_DBD_TCTTGA20NGTG_3_Y	
D00310.003	BHLHE22	TF	Homo sapiens	bHLH		SELEX	['CloneType=DBD','Primer=TCTTGA20NGTG','Cycle=4','Batch=Y']	deepbind 0.1	PMID 23332764	deprecated	E:/Results/deepbind/selex/unmatched/final/BHLHE22_DBD_TCTTGA20NGTG_4_Y	
D00311.001	BHLHE23	TF	Homo sapiens	bHLH		SELEX	['CloneType=DBD','Primer=TATATC20NCG','Cycle=2','Batch=Y']	deepbind 0.1	PMID 23332764	deprecated	E:/Results/deepbind/selex/unmatched/final/BHLHE23_DBD_TATATC20NCG_2_Y	
D00311.002	BHLHE23	TF	Homo sapiens	bHLH		SELEX	['CloneType=DBD','Primer=TATATC20NCG','Cycle=3','Batch=Y']	deepbind 0.1	PMID 23332764	deprecated	E:/Results/deepbind/selex/unmatched/final/BHLHE23_DBD_TATATC20NCG_3_Y	
D00311.003	BHLHE23	TF	Homo sapiens	bHLH		SELEX	['CloneType=DBD','Primer=TATATC20NCG','Cycle=4','Batch=Y']	deepbind 0.1	PMID 23332764		E:/Results/deepbind/selex/best/final/BHLHE23_DBD_TATATC20NCG_4_Y	
D00312.001	BHLHE41	TF	Homo sapiens	bHLH		SELEX	['CloneType=FL','Primer=TGTGCT20NCGG','Cycle=2','Batch=AD']	deepbind 0.1	PMID 23332764	deprecated	E:/Results/deepbind/selex/unmatched/final/BHLHE41_FL_TGTGCT20NCGG_2_AD	
